"original address",latitude,longitude
". Femax Pharmacy Nig. Ltd	3, Sakponba Rd., Benin City",,
". Frontline Pharmacy Ltd	4, Victory Str., New Benin, Benin City",,
". Frontwayn Pharmacy Ltd	45B, Okhoro Rd., Benin City",,
". God's Will Pharmacy Ltd	14, Airport Rd., Benin City",,
".  Ikwuson Gillway Pharm. Nig. Ltd	27A, New Lagos Rd., Benin City",6.353261,5.627453
". Isoken Pharmacy Ltd	141B, New Lagos Rd., Uselu Qtrs., Benin City",,
". J. Odia Chemists	63, Uselu-Lagos Rd., Benin City",6.353261,5.627453
". Jolia Pharmacy	13, Stadium Rd., Benin City",,
". Joneta Pharm. Ltd	47, Ugbowo-Lagos Rd., Benin City",6.385362,5.609684
". Josaf Pharmacy	35, Sapele Rd., Benin City",,
". KaroPharm Lab. Ltd	156, Upper Mission Rd., Benin City",6.365566,5.641524
". Ladith Pharm. Chemist Ltd	56, Ore-Oghene Rd., (Eagle House) Benin City",,
". Lilaus Pharmacy	1, Ogbelaka Str., Sapele Rd., Benin City",,
". Minola Pharmacy	32, Adesogbe Rd., Benin City",,
". Nandy Chemist	11, M. M. Way, Benin City",,
". Newchance Pharmacy	49, Ugbowo-Lagos Rd., Benin City",6.385362,5.609684
". Nicus Pharm. Co.	73, Sapele Rd., Benin City",,
". Nomagbon Pharmacy	43, Oyemwen Str.,New Benin, Benin City",,
". Nomagbon Pharmacy	68, Mission Rd., Benin City",,
". Odoka Chemists	89, New Lagos Rd., Benin City",6.353261,5.627453
". Oiwone & Company	61B, New Lagos Rd., Benin City",6.353261,5.627453
". Okhai Pharm. Co. Ltd	255, Upper Siluko Rd., Benin City",,
". Oskajay Nig. Ltd	88, Forestry Rd., Benin City",,
". Parkingson Pharmacy	10, Ugbague Str., Off Mission Rd., Benin City",,
". Pharmaserve Nig. Ltd	71, Akpakpava Rd., Benin City",,
". Philip Andyje Ltd	47C, Ugbowo-Lagos Rd., Benin City",6.385362,5.609684
". Raytex Chemists	15, Sapele Rd., Benin City",,
". Reovie Pharm.	1, Ihama Rd., GRA., Benin City",,
". Royal End & Co Nig. Ltd	29, Sapele Rd., Benin City",,
". Ruvena Pharmacy	3, Gapiona Avenue, GRA, Benin City",,
". Safeway Chemists Ltd	3, Ehondor Str., Benin City",,
". Salami Chemists	56, Mission Rd., Benin City",,
". Samig Nig. Ltd	28, Lawani Str., New Benin, Benin City",,
". Satos Life Care Pharmacy	224, Upper Siluko Rd., Benin City",,
